stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Dominik\Desktop\AISD\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.16826] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16828] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16829] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16830] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16832] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16833] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16837] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16838] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16840] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16841] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16842] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16844] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16845] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16847] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16848] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16849] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16851] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16852] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16853] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16855] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16856] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16857] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16859] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16860] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16861] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16863] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16864] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16865] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16867] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16868] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16870] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16871] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16872] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16874] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16875] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16876] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16878] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16879] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16881] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16882] Score is : 769
